iter	RMSE
0	709.2380295
1	694.2047822
2	679.4978368
3	667.0749649
4	657.854109
5	647.5755567
6	638.2632136
7	631.1338001
8	623.7859407
9	617.759777
10	612.2102483
11	608.1470297
12	602.8369059
13	598.5983638
14	594.4829658
15	590.5080944
16	587.1966025
17	583.3258508
18	579.7524727
19	576.3199452
20	574.2582487
21	572.6920853
22	570.3737705
23	568.074311
24	566.4039463
25	564.1896678
26	561.6152984
27	558.7233875
28	557.2071302
29	555.807006
30	554.0178345
31	552.4165367
32	551.3264572
33	550.2218155
34	548.8148215
35	547.7012826
36	546.3667895
37	545.2379652
38	543.8377898
39	543.022931
40	542.1401502
41	540.2497646
42	539.8223379
43	539.3493201
44	538.7565832
45	537.5678931
46	537.1713747
47	536.628491
48	535.4836979
49	534.6375102
50	533.7175282
51	532.4390714
52	531.9096685
53	531.4148613
54	530.5386168
55	530.0897432
56	529.1987694
57	528.8538048
58	528.4787984
59	528.0728176
60	527.5471293
61	527.2564627
62	526.2654073
63	526.0011846
64	525.6993626
65	525.4313342
66	525.0053354
67	524.5552735
68	524.191927
69	524.0088394
70	523.4140602
71	523.1353963
72	522.7743309
73	522.1417008
74	521.5508901
75	521.1054919
76	520.7145305
77	520.2805251
78	519.8418702
79	519.7659266
80	519.4967552
81	519.3331795
82	518.8215023
83	518.8012366
84	518.3489373
85	518.1060741
86	517.5581752
87	517.371044
88	517.1449031
89	516.8487257
90	516.8429348
91	516.6622053
92	516.026769
93	515.4550406
94	515.2132582
95	515.1496957
96	515.0151583
97	514.2872752
98	513.6754176
99	513.4911451
100	513.2507835
101	512.7097555
102	512.3556664
103	511.9017955
104	511.6311466
105	511.3714309
106	510.8835537
107	510.3900276
108	510.1808463
109	510.0128415
110	509.6317572
111	509.4681593
112	509.1118083
113	507.9812064
114	507.7631893
115	507.5391552
116	507.5047968
117	507.3005038
118	506.8237748
119	506.5436935
120	506.0689036
121	505.971524
122	505.698576
123	505.4832232
124	505.2308146
125	504.6450551
126	504.491696
127	504.0290951
128	503.8539721
129	503.6347618
130	503.4295431
131	502.617197
132	502.5865978
133	502.1946677
134	501.971888
135	501.7143609
136	501.5775765
137	501.0382514
138	500.9754641
139	500.9479686
140	500.9204358
141	500.5877959
142	500.1709913
143	499.9682572
144	499.7375691
145	499.5577861
146	499.457526
147	499.3098447
148	499.1114778
149	498.748324
150	498.6918385
151	498.4063184
152	498.243408
153	498.2303391
154	498.046313
155	497.8630648
156	497.8498364
157	497.5600903
158	497.3291113
159	497.214954
160	496.9822343
161	496.9037458
162	496.6555624
163	496.443776
164	496.3181509
165	496.1198793
166	495.8807002
167	495.7066275
168	495.6812651
169	495.3364471
170	495.1319773
171	494.8739316
172	494.8119291
173	494.6041704
174	494.2584021
175	494.0870464
176	494.0014167
177	493.7334086
178	493.3627756
179	493.3435547
180	492.9541585
181	492.4091311
182	492.3168378
183	492.1169468
184	491.9476273
185	491.5618919
186	491.5498394
187	491.4800057
188	491.4357277
189	491.1894188
190	491.1665112
191	491.1491166
192	491.0792671
193	490.8425608
194	490.7590404
195	490.5027787
196	490.451939
197	490.1779106
198	490.1687994
199	489.9833693
200	489.9140847
201	489.8946699
202	489.8756997
203	489.7131387
204	489.5156527
205	489.4618182
206	489.317867
207	489.2091571
208	489.1614262
209	488.6978299
210	488.6676629
211	488.4394857
212	488.327572
213	488.0860938
214	487.8759518
215	487.6263626
216	487.3610286
217	487.2121554
218	486.9645724
219	486.822577
220	486.573594
221	486.4474311
222	486.1577122
223	485.8171033
224	485.5964956
225	485.3527949
226	485.2219334
227	485.0553823
228	484.8004715
229	484.4804322
230	484.2660054
231	484.1582922
232	484.0211529
233	483.6328928
234	483.3412522
235	483.0812571
236	482.9559905
237	482.8535648
238	482.6774776
239	482.372714
240	482.2368556
241	481.8277155
242	481.5353893
243	481.3431174
244	481.2508718
245	481.1084256
246	481.0340454
247	480.8180192
248	480.6183335
249	480.44336
250	480.202696
251	480.118776
252	480.0043161
253	479.8898633
254	479.8774468
255	479.5417909
256	479.3346988
257	479.181483
258	479.0251522
259	478.9052837
260	478.7021572
261	478.5932196
262	478.5345684
263	478.3974616
264	478.3313203
265	478.2368226
266	478.1301086
267	478.0331586
268	477.909771
269	477.6626718
270	477.3293771
271	477.2017776
272	477.079597
273	476.9827201
274	476.8813211
275	476.6734771
276	476.4972831
277	476.4478457
278	476.3332231
279	476.2324012
280	476.1971624
281	476.1095328
282	476.0413112
283	475.9823314
284	475.7752964
285	475.7442962
286	475.6095536
287	475.5164893
288	475.4957449
289	475.3114758
290	475.2265097
291	475.1680381
292	475.0882449
293	474.9837901
294	474.759235
295	474.5837205
296	474.4050295
297	474.1101148
298	474.063163
299	473.8273042
300	473.7620236
301	473.589828
302	473.5458777
303	473.2910244
304	473.0158263
305	472.9291538
306	472.6636842
307	472.5283142
308	472.3686593
309	472.1836105
310	471.9562157
311	471.7819036
312	471.6206596
313	471.4391338
314	471.3129217
315	471.2522968
316	471.0180395
317	470.9417777
318	470.8620811
319	470.5543844
320	470.5420907
321	470.458095
322	470.3614912
323	470.1532391
324	470.0701691
325	469.669958
326	469.6120609
327	469.5642657
328	469.4153212
329	469.3102424
330	469.1475926
331	469.0080304
332	468.9296355
333	468.831788
334	468.6898496
335	468.5885316
336	468.3791755
337	468.1435949
338	468.0418876
339	467.7684273
340	467.3028834
341	467.0920261
342	467.0056798
343	466.8396414
344	466.7186869
345	466.5320476
346	466.3422319
347	466.2622326
348	466.0927644
349	465.9735101
