iter	Passed	Remaining
0	4	4621
1	17	8691
2	30	10196
3	39	9724
4	59	11840
5	70	11723
6	76	10834
7	79	9903
8	84	9272
9	89	8876
10	99	8910
11	116	9619
12	136	10376
13	157	11087
14	162	10700
15	168	10368
16	178	10296
17	183	10032
18	189	9801
19	198	9746
20	206	9630
21	212	9444
22	220	9380
23	228	9305
24	236	9206
25	246	9248
26	253	9151
27	284	9873
28	289	9688
29	293	9479
30	298	9324
31	305	9238
32	317	9307
33	334	9513
34	351	9702
35	359	9634
36	376	9795
37	391	9920
38	400	9867
39	413	9919
40	426	9968
41	444	10147
42	450	10025
43	458	9966
44	465	9881
45	474	9833
46	480	9733
47	489	9700
48	499	9700
49	506	9624
50	515	9592
51	524	9570
52	533	9533
53	540	9474
54	564	9705
55	574	9676
56	580	9606
57	589	9570
58	597	9521
59	604	9475
60	634	9759
61	652	9876
62	662	9851
63	682	9986
64	692	9965
65	710	10052
66	719	10024
67	744	10203
68	766	10347
69	782	10400
70	805	10537
71	819	10565
72	857	10883
73	889	11130
74	910	11223
75	939	11416
76	960	11513
77	996	11784
78	1015	11836
79	1032	11878
80	1050	11913
81	1072	12007
82	1095	12102
83	1097	11963
84	1105	11899
85	1113	11830
86	1133	11890
87	1137	11788
88	1144	11713
89	1148	11611
90	1149	11482
91	1155	11401
92	1160	11315
93	1164	11228
94	1171	11160
95	1180	11117
96	1189	11072
97	1198	11029
98	1211	11027
99	1222	11002
100	1232	10971
101	1241	10933
102	1249	10880
103	1258	10840
104	1267	10803
105	1274	10745
106	1285	10730
107	1291	10669
108	1301	10634
109	1311	10609
110	1321	10586
111	1330	10552
112	1340	10522
113	1352	10508
114	1362	10481
115	1373	10468
116	1379	10407
117	1389	10386
118	1398	10355
119	1404	10301
120	1411	10252
121	1416	10196
122	1422	10142
123	1427	10084
124	1430	10010
125	1434	9951
126	1438	9889
127	1443	9833
128	1445	9762
129	1452	9718
130	1456	9663
131	1462	9614
132	1467	9567
133	1478	9557
134	1487	9534
135	1498	9519
136	1508	9501
137	1523	9517
138	1532	9492
139	1539	9456
140	1546	9422
141	1561	9435
142	1572	9422
143	1578	9385
144	1587	9359
145	1591	9311
146	1598	9273
147	1606	9249
148	1615	9227
149	1628	9230
150	1638	9213
151	1657	9246
152	1666	9226
153	1677	9213
154	1696	9247
155	1712	9267
156	1719	9234
157	1745	9302
158	1765	9338
159	1785	9375
160	1800	9381
161	1823	9433
162	1844	9473
163	1868	9523
164	1894	9585
165	1922	9659
166	1940	9680
167	1955	9682
168	1961	9644
169	1982	9679
170	1992	9658
171	2009	9675
172	2018	9650
173	2031	9641
174	2047	9654
175	2054	9617
176	2063	9593
177	2074	9579
178	2088	9579
179	2108	9604
180	2124	9613
181	2145	9644
182	2156	9627
183	2162	9592
184	2168	9551
185	2180	9541
186	2188	9514
187	2196	9488
188	2205	9462
189	2218	9455
190	2223	9418
191	2227	9374
192	2230	9325
193	2237	9294
194	2243	9260
195	2247	9220
196	2252	9182
197	2256	9141
198	2261	9102
199	2265	9062
200	2268	9019
201	2273	8979
202	2275	8933
203	2279	8896
204	2285	8861
205	2289	8824
206	2297	8801
207	2307	8786
208	2312	8751
209	2317	8716
210	2320	8676
211	2323	8635
212	2326	8597
213	2329	8556
214	2334	8523
215	2338	8487
216	2343	8456
217	2366	8490
218	2374	8467
219	2378	8432
220	2382	8398
221	2386	8363
222	2391	8332
223	2399	8311
224	2403	8278
225	2409	8252
226	2412	8216
227	2417	8184
228	2421	8153
229	2426	8123
230	2430	8092
231	2434	8060
232	2440	8032
233	2445	8006
234	2457	8000
235	2469	7994
236	2478	7978
237	2484	7955
238	2492	7935
239	2501	7921
240	2512	7911
241	2521	7896
242	2528	7877
243	2537	7863
244	2547	7851
245	2559	7843
246	2568	7830
247	2578	7817
248	2587	7803
249	2592	7777
250	2596	7748
251	2600	7718
252	2605	7693
253	2609	7664
254	2614	7639
255	2622	7621
256	2632	7610
257	2642	7598
258	2646	7571
259	2657	7564
260	2667	7552
261	2675	7537
262	2684	7523
263	2708	7549
264	2722	7549
265	2729	7533
266	2742	7529
267	2757	7532
268	2776	7544
269	2797	7562
270	2810	7560
271	2828	7569
272	2843	7571
273	2861	7582
274	2870	7568
275	2888	7576
276	2907	7588
277	2916	7574
278	2925	7560
279	2930	7535
280	2945	7537
281	2968	7557
282	2985	7564
283	3000	7564
284	3007	7546
285	3012	7521
286	3028	7524
287	3038	7511
288	3052	7508
289	3064	7503
290	3075	7494
291	3084	7479
292	3093	7463
293	3103	7452
294	3111	7436
295	3119	7419
296	3128	7405
297	3135	7386
298	3142	7366
299	3151	7354
300	3161	7341
301	3169	7326
302	3178	7311
303	3187	7297
304	3195	7282
305	3204	7267
306	3218	7264
307	3221	7238
308	3225	7213
309	3228	7186
310	3235	7167
311	3239	7143
312	3246	7126
313	3255	7111
314	3263	7096
315	3273	7085
316	3284	7076
317	3293	7062
318	3297	7038
319	3304	7022
320	3307	6995
321	3316	6983
322	3324	6968
323	3334	6956
324	3340	6937
325	3350	6928
326	3356	6907
327	3365	6895
328	3373	6881
329	3383	6869
330	3393	6858
331	3402	6846
332	3410	6830
333	3418	6815
334	3428	6805
335	3436	6791
336	3446	6780
337	3453	6763
338	3461	6749
339	3472	6740
340	3478	6722
341	3497	6728
342	3506	6716
343	3519	6712
344	3528	6698
345	3541	6693
346	3547	6675
347	3556	6663
348	3566	6653
349	3575	6640
